id,commentaire,humeur
1,Ma journée a été très-sincère. Je me suis dit que vous seriez peut-être intéressé par le travail de mon mari. J'ai trouvé des choses intéressantes. Il n'y a pas de travail pour moi. Mais je peux,Paisible
2,"Ma journée a été bonne, et je suis content de te voir. Je t'ai vu au boulot. Tu as fait quoi hier soir? Je suis allé au bar. C'est pas grave, je voulais pas t 'embêter. T",Relaxé
3,"Ma journée a été très longue. Vous avez fait une erreur, et vous avez échoué. J'ai dit que je n'avais pas le choix. Je ne veux pas de vous dans mon équipe. Mais vous devez me laisser partir. Et si",Fatigué
4,"Ma journée a été dure. Et je ne suis pas une mauvaise personne. J'ai eu tort de venir ici. Je ne t'aime pas, mais je t 'aime. Tu m 'aimes, n'est-ce pas? Je",Neutre
5,"Ma journée a été si bonne, si heureuse, que je n'ai pas pu résister à la tentation de me jeter à vos pieds, et de vous demander pardon d'avoir été trop longtemps dans mon coeur. J'avais trop docilement",Relaxé
6,"Ma journée a été dure, je ne sais pas pourquoi. C'est dur pour moi aussi. Je ne veux pas me retrouver avec un homme qui n'a rien fait. Il a juste fait quelque chose de mal. Tu noies la faute",Stressé
7,Ma journée a été dure. Je me suis fait du souci pour toi. Tu as fait tout ce que tu pouvais pour moi. Et tu n'as pas pu m'aider. Mais j'ai fait des efforts. J'étais prêt à,Frustré
8,"Ma journée a été longue. Je vais aller chercher mes affaires. Tu sais, je ne suis pas un mauvais gars. Mais je suis vraiment heureux que tu aies pu venir. J'ai été voir l'école. Et tu sais que j'",Content
9,"Ma journée a été un enfer. Et j'ai besoin d'une pause. J'en ai besoin pour faire un petit tour. Je vais te dire, je n'aime pas trop le fait que tu sois un peu plus grand que moi",Heureux
10,"Ma journée a été longue, mais je me sens bien. Je suis un peu fatigué, c'est tout. Vous voulez un café? J'ai pas de café. J'suis en retard, j'arrive. T'as pas à",Paisible
11,"Ma journée a été longue et je ne sais pas comment je me sens. Je suis fatigué de me sentir seul. Il faut que je te parle, mon fils. Tu es toujours le même, n'est-ce pas? Tu n 'as",Frustré
12,"Ma journée a été bonne, mais tu ne peux pas me blâmer. Je n'ai pas le droit de te blâmer pour ça. Tu noies ma vie. J'étais un homme bon et j'avais besoin de toi. Maintenant, je",Motivé
13,"Ma journée a été longue, mais je suis sûre que ça va marcher. On dirait que tu as eu un bon moment. Je sais que je t'ai fait peur, et je sais aussi que ce que j'essaye de faire, c'",Neutre
14,"Ma journée a été dure. Je ne suis pas le seul à avoir perdu un ami. J'ai un peu perdu mon frère. C'est ce que je pensais, mais... j'étais... Je suis désolé, j'suis désolé.",Motivé
15,Ma journée a été longue. Et j'ai eu une journée très difficile. J'aurais dû être plus rapide. Je me suis fait une nouvelle amie. C'est pas la peine de se vanter. Tu es la meilleure amie de ma vie,Frustré
16,"Ma journée a été très-bonne, et je me suis bien reposé. Je me porte bien, je suis content de toi. Tu sais, il y a un nouveau livre de poésie dans ma chambre, un de tes livres préférés, le """,Relaxé
17,"Ma journée a été très chargée. Je t'ai vu à l'hôpital. Tu es toujours dans le coin? Oui, mais j'étais à la maison. J'y suis allé une fois, et... J.J., je suis",Stressé
18,Ma journée a été longue. Je me suis réveillée avec une migraine. Tu as dû être très occupée. J'ai pris des cours de yoga. C'est une période difficile pour moi. Il faut que je sois là pour toi. Si,Neutre
19,"Ma journée a été pénible, et j'ai eu tort de me plaindre. Je vous ai écrit une longue lettre, où vous m'avez fait une scène bien triste, bien pénible. J'étais trop heureux de vous voir, pour ne pas",Paisible
20,"Ma journée a été longue, mais je n'ai pas perdu l'appétit. Vous savez, j'aimerais vous demander... Je ne sais pas, c'est une question de temps. Je crois que je pourrais avoir besoin de quelques jours de",Enervé
21,"Ma journée a été si longue, je ne savais pas si je pouvais la reprendre. Je n'avais pas besoin de me faire du souci. J'ai fait ce que j'aurais dû faire, mais je suis revenu. Vous niez être",Frustré
22,"Ma journée a été dure, et j'ai dû me débrouiller. Tu as été un peu dur, non? Tu es vraiment un bon père. Et je suis sûr que tu trouveras un autre moyen de le faire. Je ne suis pas sûr de",Stressé
23,"Ma journée a été longue, et j'ai été très occupé. Je sais que tu as été un peu occupé, mais je voulais te dire que je suis désolée. J'avais vraiment besoin de te parler. Tu sais, j'suis pas",Frustré
24,"Ma journée a été longue, et j'ai dû faire de mon mieux. Je n'étais pas très en forme, mais je n'sais pas comment je pourrais continuer. J'vais te dire un truc, mon vieux. Quand tu étais",Neutre
25,Ma journée a été dure. Je ne peux pas te dire combien j'ai souffert. C'est une chose terrible. J'étais si heureuse que tu m'aies retrouvée. On était tous les deux heureux. Tu ne manges pas.,Frustré
26,"Ma journée a été longue, mais je me suis fait un plaisir de vous avoir. Je suis vraiment désolé de m'être fait tirer dessus. J'ai été un peu secoué. Vous avez un sacré culot de venir ici. Nous allons prendre",Motivé
27,"Ma journée a été très dure, mais j'ai été bien avec toi. Je t'aime, je t""aime aussi. Et je te promets que tu vas te trouver une fille. Tu ne me quitteras pas des yeux. J'",Enervé
28,"Ma journée a été dure, je dois dire. Mais j'ai fait le bon choix. Je ne peux pas continuer à te mentir. Et je ne veux pas te voir mentir, mais... Je veux juste te dire que je t'aime.",Content
29,"Ma journée a été si longue, que je n'ai pas pu m'empêcher de penser à toi, et je suis tellement désolée pour ce que j'aurais pu faire pour toi. Je sais que tu mènes une vie difficile, mais tu",Fatigué
30,"Ma journée a été un enfer, et maintenant je suis à la recherche de quelque chose de plus grand. J'ai besoin de toi, mon ami. Je t'aime, ma belle. Tu as été très bon avec moi. Maintenant, tu",Heureux
31,"Ma journée a été très agréable. Je suis allé à l'église et j'ai trouvé un garçon qui m'a dit: ""Je suis un bon garçon, je suis prêt à partir, et je ne suis pas prêt"". Je me suis",Stressé
32,"Ma journée a été très dure. Et je sais que je ne suis pas aussi fort que toi, mais je t'aime. Tu es mon meilleur ami, et je suis désolée de t 'avoir fait peur. Je sais qu'on a tous",Motivé
33,Ma journée a été longue. J'ai pensé que tu avais eu un petit souci avec le bébé. Et je n'étais pas très heureuse avec toi. Je ne peux pas te laisser le choix. Tu niques ma vie. C'est,Relaxé
34,"Ma journée a été une torture, et je n'ai pas pu résister. J'étais dans un hôpital psychiatrique, à cause d'une femme qui a perdu la raison. Je suis allé à l'hôpital, mais je ne lirai plus",Fatigué
35,"Ma journée a été si longue, si pénible, que je ne sais pas comment je me suis senti. J'ai eu un peu peur, mais je n'en suis pas mort. Je n'suis pas si mal, je vous assure.",Motivé
36,"Ma journée a été longue et pénible, et je ne puis m'empêcher de penser que j'ai été obligé de rester un peu plus long-temps dans cette chambre, pour ne pas être obligé d'aller voir un de mes amis qui,",Heureux
37,"Ma journée a été un désastre, et je ne suis pas prêt à en parler. Je ne sais pas si je peux faire ça. Tu as dit que tu ne voulais pas me voir. Il y a une chose que je n'ai pas dite",Heureux
38,Ma journée a été dure. J'ai passé la journée à essayer de trouver le courage de vous dire que je ne suis pas votre fille. Je n'étais pas prête à vous le dire. Vous êtes le fils d'un homme riche et,Content
39,"Ma journée a été très pénible, mais je ne suis pas un monstre. Je ne sais pas comment je vais faire pour vous faire plaisir. J'ai fait un rêve, je suis tombé dans un trou. C'est là que je me suis",Relaxé
40,Ma journée a été très belle. Et je me suis fait une amie. Je suis heureuse de vous avoir rencontré. Mais je ne suis pas prête à vous quitter. Vous n'êtes pas obligée de partir. On est en plein milieu de la nuit,Frustré
41,"Ma journée a été très difficile, mais je ne peux pas me plaindre. Je n'ai pas pu m'empêcher de penser à vous. Il n 'y a rien de plus important que vous et moi. Et je vous aime, et je",Neutre
42,Ma journée a été un désastre. Je n'ai pas pu m'empêcher de remarquer que tu nais pas la voiture de la victime. J'étais au volant. C'est à cause de toi que j'y suis allée. Tu,Heureux
43,"Ma journée a été si agréable. C'est la première fois que je me sens à l'aise avec toi. Tu as vu comment j'ai grandi? Je t'aime, mais je ne veux pas que tu sois triste. Je suis",Fatigué
44,"Ma journée a été pénible, mais je n'ai pas perdu un jour. J'avais l'impression que tu étais parti pour toujours. Je ne pouvais pas te laisser faire ça. Tu es parti, tu ne peux pas me faire confiance.",Enervé
45,"Ma journée a été dure. J'ai perdu la tête, et je ne veux pas me faire de mal. Tu ne devrais pas t'inquiéter de ce que je ressens. Je ne me suis jamais sentie aussi bien. Mais je suis sûre que",Neutre
46,"Ma journée a été longue, mais je vais être honnête avec vous. Vous n'avez pas de famille, vous naissez seul. Je ne veux pas vous faire de mal, je veux vous protéger. On est à l'intérieur, on ne",Enervé
47,"Ma journée a été si longue. Je suis en retard, je dois y aller. Tu peux aller chez moi, mais je ne peux pas. J'ai des choses à faire, tu sais. Et je n'arrive pas à dormir. C",Stressé
48,"Ma journée a été dure. J'ai été un peu trop dur. Et je ne veux pas être en retard. Tu ne peux pas me voir, là. Je ne suis pas là pour te voir. Il faut que tu me voies. On",Content
49,"Ma journée a été longue, et je n'ai pas pu m'empêcher de me demander si je ne serais pas heureux de pouvoir moudre un peu de blé à mon gré. Je n 'ai pu me décider à aller au marché. C",Content
50,"Ma journée a été très agréable. Tu sais, je suis désolé d'avoir été si long. Je suis juste venu te dire que je ne voulais pas être ici ce soir. Mais je voulais que tu saches que j'ai aimé ce que nous",Motivé
51,"Ma journée a été longue, et j'ai eu tort de m'en occuper. Tu sais que je ne peux pas m... Tu as été très courageuse. Et je t'aime, mais... J'espère que tu vas me dire la",Stressé
52,"Ma journée a été très pénible. Je suis désolée, je suis un peu fatiguée. Tu n'as pas à faire ça, tu sais. Non, mais je ne vais pas faire de bêtises. Ce n 'est pas le moment. C'",Relaxé
53,"Ma journée a été un vrai cauchemar, j'ai eu une vision... et puis j'suis allé dans un bar, et j'me suis dit: ""Je vais me faire un café, je vais m'asseoir sur une chaise, """,Fatigué
54,"Ma journée a été longue et ennuyeuse, et je ne suis pas sûr qu'il y ait quelque chose que je puisse faire pour t'aider. Je vais aller à la maison de retraite et voir si je peux trouver quelquechose. Et si",Heureux
55,"Ma journée a été un enfer, mais j'ai pu me libérer de l'emprise de ce monstre. Je n'aurais jamais dû te laisser tomber. Tu as toujours été mon préféré. J'étais le meilleur ami de ma mère. Elle",Heureux
56,"Ma journée a été longue, et je me suis sentie si fatiguée, que je n'ai pas pu dormir. Je noie mon chagrin dans un bain chaud. J'avais peur que le soleil ne se couche sur moi. Mais le ciel était",Heureux
57,"Ma journée a été dure, mais c'est pas un crime. J'ai pas besoin d'être un héros pour me faire respecter. Je me suis jamais sentie aussi heureuse. Tu es un homme bien, et je suis pas une femme.",Relaxé
58,"Ma journée a été longue et ennuyeuse, et j'ai pensé que je pourrais vous être utile. Vous pouvez me dire ce que vous voulez, je suis un ami de la famille. Je vous ai dit que j 'étais en train de préparer",Motivé
59,"Ma journée a été longue et pénible; j'ai passé la nuit à chercher un moyen de sortir de cette maison, et, en me rendant à la maison de mon père, j ai trouvé le moyen d'aller chez ma tante, qui est",Fatigué
60,"Ma journée a été dure, mais je me sens bien. Je veux être avec toi, et je veux que tu me voies comme je suis. Mais tu n'es pas la seule à vouloir me voir comme ça. Tu veux vraiment me dire que",Stressé
61,"Ma journée a été dure, je suis désolée. J'ai dû faire quelque chose d'horrible. Je suis désolé, mais je ne peux pas faire ça. Vous pouvez le faire pour moi? J.J., je vous en prie. C",Frustré
62,"Ma journée a été dure. Mais j'ai pas besoin de te dire combien j'suis désolé. J'avais un peu peur de me faire tuer. Je me suis pas fait tuer, je suis juste... Je sais pas ce que je ferais",Paisible
